rank,strategy,fold,status,error,train_main_macro_f1,val_main_macro_f1,test_main_macro_f1,test_main_micro_f1,test_main_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_auc,test_loss,checkpoint_path,output_dir,trainable_params,total_params,trainable_ratio,train_f1_NORM,val_f1_NORM,test_f1_NORM,test_sensitivity_NORM,test_specificity_NORM,test_auc_NORM,train_f1_AMI,val_f1_AMI,test_f1_AMI,test_sensitivity_AMI,test_specificity_AMI,test_auc_AMI,train_f1_IMI,val_f1_IMI,test_f1_IMI,test_sensitivity_IMI,test_specificity_IMI,test_auc_IMI,train_f1_Lateral-involved MI,val_f1_Lateral-involved MI,test_f1_Lateral-involved MI,test_sensitivity_Lateral-involved MI,test_specificity_Lateral-involved MI,test_auc_Lateral-involved MI
1,partial_finetune,4,OK,,0.983051690200552,0.9710871321445133,0.8866371625754992,0.8796844181459567,0.878821363754068,0.8796844181459567,0.8730535991874648,0.9809565114423954,0.4252069369105427,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/partial_finetune/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/partial_finetune/fold_4,449333,513493,0.8750518507555117,0.9848942598187312,0.979757085020243,0.8796992481203008,0.8297872340425532,0.9781420765027322,0.9835871797852964,0.9861751152073732,1.0,0.8263473053892215,0.711340206185567,0.997560975609756,0.9831531305003772,0.9825726141078838,0.9559748427672956,0.8578431372549019,0.9510869565217392,0.848297213622291,0.9576154260331136,0.97856477166822,0.9486166007905138,0.9826589595375722,1.0,0.9928909952606636,0.9994703094507944
2,full_finetune,1,OK,,0.9975178677814656,0.9839850088183422,0.8804258474022818,0.883629191321499,0.8817432105319734,0.883629191321499,0.8778427604578934,0.974626401803252,0.5472717636670822,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/full_finetune/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/full_finetune/fold_1,513493,513493,1.0,0.995959595959596,0.984,0.8970588235294118,0.8652482269503546,0.9754098360655736,0.9716312056737588,0.9984496124031008,0.9876543209876544,0.8263473053892215,0.711340206185567,0.997560975609756,0.9771687201408096,0.9975349219391948,0.986842105263158,0.884318766066838,0.9347826086956522,0.8978328173374613,0.960829182931754,0.99812734082397,0.9774436090225564,0.913978494623656,1.0,0.962085308056872,0.9888764984666852
3,full_finetune,3,OK,,0.9995595976422248,0.9862158912094986,0.8769088115083834,0.8796844181459567,0.8774580697787587,0.8796844181459567,0.8747354532045231,0.964640679480912,0.7136843747641208,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/full_finetune/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/full_finetune/fold_3,513493,513493,1.0,1.0,0.991869918699187,0.8985507246376812,0.8794326241134752,0.9699453551912568,0.9692283842963996,1.0,0.9875,0.8095238095238095,0.7010309278350515,0.9926829268292684,0.9578576816696004,0.9991755976916736,0.9806451612903224,0.8756476683937824,0.9184782608695652,0.8978328173374613,0.9585745053170012,0.999062792877226,0.9848484848484848,0.9239130434782608,1.0,0.966824644549763,0.9729021466406468
4,full_finetune,5,OK,,0.9982049547933144,0.9892342799962992,0.8737910908965996,0.8757396449704142,0.8733602526696541,0.8757396449704142,0.8687276679986394,0.973476726036258,0.6589467873469848,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/full_finetune/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/full_finetune/fold_5,513493,513493,1.0,0.997983870967742,0.9879518072289156,0.8782287822878229,0.8439716312056738,0.9699453551912568,0.9712048986551952,1.0,1.0,0.8170731707317073,0.6907216494845361,1.0,0.977495599698265,0.9967051070840196,0.9803921568627452,0.8759493670886076,0.9402173913043478,0.8823529411764706,0.9532911562794454,0.9981308411214952,0.988593155893536,0.9239130434782608,1.0,0.966824644549763,0.9919152495121272
5,full_finetune,4,OK,,0.997691599836519,0.9886195324457068,0.8715787566520645,0.8777120315581854,0.8751904034655377,0.8777120315581854,0.8721581336168942,0.974235589301679,0.6026487807785501,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/full_finetune/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/full_finetune/fold_4,513493,513493,1.0,0.9969849246231156,0.9959514170040484,0.901818181818182,0.8794326241134752,0.9726775956284152,0.9731620354222378,1.0,0.9938650306748468,0.7928994082840237,0.6907216494845361,0.9878048780487804,0.9754840331908474,0.9975267930750206,0.9838187702265372,0.8825065274151436,0.9184782608695652,0.9071207430340558,0.954401669134473,0.99625468164794,0.9808429118773946,0.9090909090909092,1.0,0.9597156398104264,0.993894619459158
6,full_finetune,2,OK,,0.9991025126253876,0.9925561648227164,0.8386492159371273,0.8461538461538461,0.8426894791298362,0.8461538461538461,0.8386243007984544,0.970331553905633,0.7424700509396766,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/full_finetune/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/full_finetune/fold_2,513493,513493,1.0,0.998992950654582,0.9838709677419356,0.8698884758364313,0.8297872340425532,0.9699453551912568,0.968976475603612,1.0,1.0,0.7530864197530864,0.6288659793814433,0.9902439024390244,0.9673874779984912,0.99835255354201,0.99009900990099,0.8520408163265306,0.907608695652174,0.8730650154798761,0.9534930677076324,0.999064546304958,0.99625468164794,0.8795811518324608,0.9882352941176472,0.9478672985781992,0.9914691943127962
7,partial_finetune,2,OK,,0.9862638827887542,0.9792616083282388,0.8341844906499949,0.8422090729783037,0.8410796045723198,0.8422090729783037,0.8061095624722895,0.9758939926079504,0.5037670398840067,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/partial_finetune/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/partial_finetune/fold_2,449333,513493,0.8750518507555117,0.9919678714859438,0.979757085020243,0.9003690036900369,0.8652482269503546,0.9781420765027322,0.9841685075378832,0.9891472868217054,0.9938650306748468,0.8977272727272727,0.8144329896907216,1.0,0.9715866230827256,0.9827727645611156,0.9741935483870968,0.8243559718969555,0.9565217391304348,0.7925696594427245,0.9598364517431688,0.9811676082862524,0.9692307692307692,0.7142857142857143,0.5882352941176471,0.9881516587677726,0.9879843880680236
8,partial_finetune,5,OK,,0.9822669362056966,0.9365903287223772,0.7904727647877972,0.7790927021696252,0.7804605532940357,0.7790927021696252,0.7708566236893682,0.9505896117715604,0.7730227066920354,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/partial_finetune/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/partial_finetune/fold_5,449333,513493,0.8750518507555117,0.984924623115578,0.959349593495935,0.7642276422764228,0.6666666666666666,0.9699453551912568,0.958454443281789,0.986046511627907,0.9411764705882352,0.7513812154696132,0.7010309278350515,0.9609756097560976,0.9221775207442796,0.9777411376751854,0.9433962264150944,0.7587822014051522,0.8804347826086957,0.7492260061919505,0.9237616099071208,0.980355472404116,0.902439024390244,0.8875,0.8352941176470589,0.990521327014218,0.9979648731530528
9,no_pretrain,5,OK,,0.9928440875604898,0.9771611284593776,0.7774924786337258,0.796844181459566,0.7947958435344935,0.796844181459566,0.7586432173172539,0.9523327365749438,0.8535915864760119,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/no_pretrain/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/no_pretrain/fold_5,513493,513493,1.0,0.9909182643794148,0.9836065573770492,0.9485294117647058,0.9148936170212766,0.994535519125683,0.9903305817153044,0.9938271604938272,0.9876543209876544,0.8333333333333334,0.7731958762886598,0.9804878048780488,0.9583605732964546,0.9950657894736842,0.9681528662420382,0.762589928057554,0.8641304347826086,0.7708978328173375,0.9048828913716516,0.9915651358950328,0.9692307692307692,0.5655172413793104,0.4823529411764706,0.9549763033175356,0.9557568999163648
10,partial_finetune,3,OK,,0.9802211400149228,0.9488033833065171,0.773395796563763,0.7712031558185405,0.7732307962337109,0.7712031558185405,0.7628211037459607,0.9597661210770893,0.6196592180921716,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/partial_finetune/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/partial_finetune/fold_3,449333,513493,0.8750518507555117,0.9879518072289156,0.983739837398374,0.8207171314741036,0.7304964539007093,0.9808743169398908,0.9854280510018216,0.97984496124031,0.9634146341463414,0.723404255319149,0.7010309278350515,0.9439024390243902,0.9460900176012068,0.9801652892561984,0.9411764705882352,0.7518427518427518,0.8315217391304348,0.7832817337461301,0.9235765244312828,0.972922502334267,0.9068825910931174,0.7976190476190477,0.788235294117647,0.962085308056872,0.9839698912740452
